,name,phone,principal,grades,division
294,Central Elementary,434-589-8318,Ms. Sue Davies,1-2,Fluvanna County Public Schools
295,Central Elementary School,540-463-4500,Mr. Ryan N. Barber,PK-5,Rockbridge County Public Schools
296,Central High,804-785-6102,Mr. Antione Monroe,8-12,King and Queen County Public Schools
297,Central High,434-696-2137,Mrs. Frances Ball,9-12,Lunenburg County Public Schools
298,Central High,540-459-2161,Ms. Melissa D Hensley,9-12,Shenandoah County Public Schools
299,Central High,276-328-8015,Charles W. Collins,9-12,Wise County Public Schools
300,Central Middle,434-542-4536,Mr. Scott Shep Critzer,6-8,Charlotte County Public Schools
301,Centre Ridge Elementary,703-227-2600,Ms. Margo R Pareja,PK-6,Fairfax County Public Schools
302,Centreville Elementary,703-502-3500,Mr. Dwayne Young,PK-6,Fairfax County Public Schools
303,Centreville High,703-802-5400,Mr. Martin E Grimm,9-12,Fairfax County Public Schools
304,Cesar Tarrant Elementary,757-825-4639,Mr. John C. Elling,PK-5,Hampton Public Schools
305,Chamberlayne Elementary,804-261-5030,Ms. Muriel L. Brinkley,PK-5,Henrico County Public Schools
306,Chancellor Elementary,540-786-6123,Shawn D. Hudson,PK-5,Spotsylvania County Public Schools
307,Chancellor High,540-786-2606,Mrs. Jacqueline M. Bass-Fortune,9-12,Spotsylvania County Public Schools
308,Chancellor Middle,540-786-8099,Cynthia L. Franzen,6-8,Spotsylvania County Public Schools
309,Chantilly High,703-222-8100,Ms. Teresa L Johnson,9-12,Fairfax County Public Schools
310,Chantilly High School Academy,703-222-8100, ,,Fairfax County Public Schools
311,Charles Barrett Elementary,703-824-6960,Mr. Seth Kennard,KG-5,Alexandria Public Schools
312,Charles City County Elementary,804-829-9256,Ms. Latonia Y. Anderson,PK-5,Charles City County Public Schools
313,Charles City County High,804-829-9249,Mrs. Stephannie F. Crutchfield,9-12,Charles City County Public Schools
314,Charles City County Middle,804-829-9252,Dr. Brenda M. Petteway,6-8,Charles City County Public Schools
315,Charles M. Johnson Elementary,804-673-3735,Ms. Kimberly L. Sower,PK-5,Henrico County Public Schools
316,Charlottesville Alternative,434-245-2406,Mr. Troy N Duke,,Charlottesville Public Schools
317,Charlottesville High,434-245-2410,Mrs. Jill Dahl,9-12,Charlottesville Public Schools
318,Chase City Elementary,434-372-4770,Mr. Frederick Taylor,PK-5,Mecklenburg County Public Schools
319,Chatham Elementary,434-432-6461,Mrs. Jenny D. Eaton,PK-5,Pittsylvania County Public Schools
320,Chatham High,434-432-8305,Mr. Randy T. Foster,9-12,Pittsylvania County Public Schools
321,Chatham Middle,434-432-2169,Mr. Cedric J. Hairston,6-8,Pittsylvania County Public Schools
322,Check Elementary,540-745-9464,Mrs. Jessica Cromer,PK-7,Floyd County Public Schools
323,Cherry Run Elementary,703-923-2800,Mr. Mark E Bibbee,PK-6,Fairfax County Public Schools
324,Chesapeake Alternative,757-578-7046,Dr. Penny K. Schultz,,Chesapeake Public Schools
325,Chesapeake Center for Science &Technology,757-547-0134,Mr. William O. Joe,,Chesapeake Public Schools
326,Chesterbrook Elementary,703-714-8200,Mr. Robert Fuqua,PK-6,Fairfax County Public Schools
327,Chesterfield Academy Elementary,757-628-2544,Dr. Sandra Witcher,PK-5,Norfolk Public Schools
328,Chesterfield Community High,804-768-6156,Dr. Kenneth Butta,9-12,Chesterfield County Public Schools
329,Chesterfield Tech.,804-768-6160,Dr. Colleen Bryant,,Chesterfield County Public Schools
330,Chickahominy Middle,804-723-2160,Mr. Mark Beckett,6-8,Hanover County Public Schools
331,Chilhowie Elementary,276-646-8220,Mr. Sanders Henderson,PK-5,Smyth County Public Schools
332,Chilhowie High,276-646-8966,Mr. Michael L. Sturgill,9-12,Smyth County Public Schools
333,Chilhowie Middle,276-646-3942,Mr. Sam Blevins,6-8,Smyth County Public Schools
334,Chimborazo Elementary,804-780-8392,Mrs. Cheryl L. Burke,PK-5,Richmond Public Schools
335,Chincoteague Elementary,757-336-5545,Ms. Karen Riner,PK-5,Accomack County Public Schools
336,Chincoteague High,757-336-6166,Mr. Warren C. Holland,6-12,Accomack County Public Schools
337,Christiansburg Elementary,540-382-5172,Ms. Kelly Roark,3-5,Montgomery County Public Schools
338,Christiansburg High,540-382-5178,Dr. Kevin Siers,9-12,Montgomery County Public Schools
339,Christiansburg Middle,540-394-2180,Mr. Mark B Baetz,6-8,Montgomery County Public Schools
340,Christiansburg Primary,540-382-5175,Mr. Oliver Lewis,PK-2,Montgomery County Public Schools
341,Christopher C. Kraft Elementary,757-825-4634,Ms. Brenda E. McIntyre-Odoms,KG-5,Hampton Public Schools
342,Christopher Farms Elementary,757-648-2240,Teri A. Breaux,PK-5,Virginia Beach Public Schools
343,Churchill Road Elementary,703-288-8400,Mr. Donald Hutzel,PK-6,Fairfax County Public Schools
344,Churchland Academy Elementary,757-686-2527,Mrs. Karen D Clark,KG-6,Portsmouth Public Schools
345,Churchland Elementary,757-686-2523,Miss Michele P Ramey,KG-6,Portsmouth Public Schools
346,Churchland High,757-686-2500,Dr. Susan S Bechtol,9-12,Portsmouth Public Schools
347,Churchland Middle,757-686-2512,Dr. Eric M Fischer,7-8,Portsmouth Public Schools
348,Churchland Preschool Center,757-686-2533,Mrs. Frances J. Gill,PK,Portsmouth Public Schools
349,Churchland Primary & Intermediate,757-686-2519,Mrs. Cora M Freeman,KG-6,Portsmouth Public Schools
350,Churchville Elementary,540-337-6036,Mrs. Laura Hodges,PK-5,Augusta County Public Schools
351,Clara Byrd Baker Elementary,757-221-0949,Phyllis Dorsey,KG-5,Williamsburg-James City County Public Schools
352,Claremont Immersion,703-228-2500,Ms. Jessica Panfil,PK-5,Arlington County Public Schools
353,Clark Elementary,434-245-2414,Dr. Daphne R. Keiser,PK-4,Charlottesville Public Schools
354,Clarke County High,540-955-6130,Dr. Jeffrey Jackson,9-12,Clarke County Public Schools
355,Clarksville Elementary,434-374-8668,Mrs. Ann Dalton,PK-5,Mecklenburg County Public Schools
356,Claude Thompson Elementary,540-422-7690,Ms. Marypat Warter,PK-5,Fauquier County Public Schools
357,Clays Mill Elementary,434-476-3022,Mrs. Sherry H. Cowan,KG-5,Halifax County Public Schools
358,Clearbrook Elementary,540-772-7555,Ms. Karen Pendleton,PK-5,Roanoke County Public Schools
359,Clearview Early Childhood Center,276-403-5800,Mrs. Sheilah W. Williams,PK,Martinsville Public Schools
360,Clearview Elementary,703-708-6000,Ms. Kimberly Willison,PK-6,Fairfax County Public Schools
361,Clermont Elementary,703-921-2400,Ms. Anne Stokowski,PK-6,Fairfax County Public Schools
362,Clifton Middle,540-863-1726,Mrs. Brenda H. Siple,6-8,Alleghany County Public Schools
363,Clintwood Elementary School,276-926-6088,Mrs. Janie Vanover,PK-4,Dickenson County Public Schools
364,Clintwood High,276-926-8400,Mr. Rodney L. Compton,9-12,Dickenson County Public Schools
365,Clover Hill Elementary,804-739-6220,Catherine Hines,PK-5,Chesterfield County Public Schools
366,Clover Hill High,804-739-6230,Dr. Deborah Marks,9-12,Chesterfield County Public Schools
367,Cloverdale Elementary,540-992-1086,Ms. Jessica L. Martin,KG-5,Botetourt County Public Schools
368,Cluster Springs Early Learning Center,434-572-4121,Mrs. Priscilla E. Price,PK,Halifax County Public Schools
369,Cluster Springs Elementary,434-517-2600,Mrs. Lisa M. Long,KG-5,Halifax County Public Schools
370,Coates Elementary,703-713-3000,Ms. Toni J Rose,PK-6,Fairfax County Public Schools
371,Coeburn Middle,276-395-2135,Scott Keith,5-8,Wise County Public Schools
372,Coeburn Primary,276-395-6100,Susan Mullins,PK-4,Wise County Public Schools
373,Cold Harbor Elementary,804-723-3620,Dr. Cheryl E. Fisher,PK-5,Hanover County Public Schools
374,Coleman Place Elementary,757-852-4641,Mrs. Pamela Tatem,PK-5,Norfolk Public Schools
375,Coles Elementary,703-791-3141,Ms. Kathryn Forgas,PK-5,Prince William County Public Schools
376,College Park Elementary,757-648-2280,Sheila Wynn,PK-5,Virginia Beach Public Schools
377,Collinsville Primary,276-647-8932,Mrs. Lisa Millner,PK-2,Henry County Public Schools
378,Colonial Beach Elementary,804-224-9897,Mrs. Mary Fisher,KG-7,Colonial Beach Public Schools
379,Colonial Beach High,804-224-7166,Mr. Andrew S. Hipple,8-12,Colonial Beach Public Schools
380,Colonial Elementary,540-977-6773,Ms. Tammy M. Riggs,PK-5,Botetourt County Public Schools
381,Colonial Forge High,540-658-6115,Mr. Gregory O. Daniel,9-12,Stafford County Public Schools
382,Colonial Heights High,804-524-3405,Kristin Janssen,9-12,Colonial Heights Public Schools
383,Colonial Heights Middle,804-524-3420,Mr. William Hortz,6-8,Colonial Heights Public Schools
384,Colonial Heights Technical Center,804-524-3405, ,,Colonial Heights Public Schools
385,Colonial Trail Elementary,804-364-0055,Mr. Kirk B. Eggleston,KG-5,Henrico County Public Schools
386,Columbia Elementary,703-916-2500,Mr. Michael Cunningham,PK-5,Fairfax County Public Schools
387,Colvin Run Elementary,703-757-3000,Mr. Kenneth J. Junge,PK-6,Fairfax County Public Schools
388,Community Based Education,703-208-7823,Mr. Paul Wardinski,,Fairfax County Public Schools
389,Concord Elementary,434-993-2257,Mr. Daniel L. Frazier,PK-5,Campbell County Public Schools
390,Conway Elementary,540-361-1455,Mr. William S. Raybold,PK-5,Stafford County Public Schools
391,Cool Spring Elementary,804-723-3560,Dr. Paula P. Brown,PK-5,Hanover County Public Schools
392,Cool Spring Elementary,571-252-2890,Ms. Jill M. Broaddus,PK-5,Loudoun County Public Schools
393,Cool Spring Primary,804-769-3434,Mrs. Lisa Thompson,PK-2,King William County Public Schools
394,Cooper Middle,703-442-5800,Ms. Arlene Randall,7-8,Fairfax County Public Schools
395,Cople Elementary,804-472-2081,Ms. Sharon Almond,PK-5,Westmoreland County Public Schools
396,Copper Creek Elementary,276-794-9306, ,PK-KG,Russell County Public Schools
397,Cora Kelly Magnet Elementary,703-706-4420,Brandon Davis,KG-5,Alexandria Public Schools
398,Cornerstone Learning Center,434-332-8638,Mr. E. Denton Sisk,,Campbell County Public Schools
399,Corporate Landing Elementary,757-648-2370,Mr. Benjamin L. Gillikin,PK-5,Virginia Beach Public Schools
400,Corporate Landing Middle,757-648-4500,Mr. Freddie P. Alarcon Jr.,6-8,Virginia Beach Public Schools
401,Cosby High,804-639-8340,Dr. Brenda Mayo,9-12,Chesterfield County Public Schools
402,Cougar Elementary,703-392-1317,Ms. Pamela Terry,PK-2,Manassas Park Public Schools
403,Council Elementary/Middle,276-859-9329,Mrs. Maretta Lester,PK-7,Buchanan County Public Schools
404,Council High,276-859-2627,Mrs. Karen Taylor,8-12,Buchanan County Public Schools
405,Countryside Elementary,571-434-3250,Richard Rudnick,PK-5,Loudoun County Public Schools
406,Courthouse Academy Program,540-582-5242,Janet B. Hodges,,Spotsylvania County Public Schools
407,Courthouse Road Elementary,540-891-0400, ,PK-5,Spotsylvania County Public Schools
408,Courtland Elementary,540-898-5422,Mrs. Sherri L. Steele,PK-5,Spotsylvania County Public Schools
409,Courtland High,540-898-4445,Mr. Larry Marks,9-12,Spotsylvania County Public Schools
410,Coventry Elementary,757-898-0403,Mrs. Paula Sasin,KG-5,York County Public Schools
411,Covington High,540-965-1410, ,8-12,Covington Public Schools
412,Cradock Middle,757-393-8788,Mrs. E. Ann Horne,7-8,Portsmouth Public Schools
413,Cradock Technical & Career Center,757-393-8117, ,,Portsmouth Public Schools
414,Craig County High,540-864-5185,Robert N. Stump,6-12,Craig County Public Schools
415,Craigsville Elementary,540-997-9184,Mrs. Fonda H. Morris,PK-5,Augusta County Public Schools
416,Creeds Elementary,757-426-7792,Mr. Robin D. Davenport,PK-5,Virginia Beach Public Schools
417,Creekside Elementary,757-923-4251,Mrs. Katrina Rountree-Bowers,PK-5,Suffolk Public Schools
418,Creighton's Corner Elementary,703-957-4480,Mr. Christopher Knott,PK-5,Loudoun County Public Schools
419,Crestview Elementary,804-673-3775,Ms. Karen H. Rawlyk,PK-5,Henrico County Public Schools
420,Crestwood Elementary,804-560-2710,Michael Courtney,PK-5,Chesterfield County Public Schools
421,Crestwood Elementary,703-923-5400,Mr. Tim M. Kasik,PK-6,Fairfax County Public Schools
422,Crestwood Intermediate,757-494-7565,Mrs. Eva Renee Carney,3-5,Chesapeake Public Schools
423,Crestwood Middle,757-494-7560,Mr. Michael R. Ward,6-8,Chesapeake Public Schools
424,Crewe Primary,434-645-8149,Mr. Tommy Coleman,1-4,Nottoway County Public Schools
425,Crittenden Middle,757-591-4900,Ms. Felicia Barnett,6-8,Newport News Public Schools
426,Critzer Elementary,540-643-0274,Michael L Grim,PK-5,Pulaski County Public Schools
427,Crossfield Elementary,703-295-1100,Mr. Robert Yoshida,PK-6,Fairfax County Public Schools
428,Crossroads School,757-531-3050,Mrs. Kristen Nichols,PK-7,Norfolk Public Schools
429,Crozet Elementary,434-823-4800,Gwedette Crummie,PK-5,Albemarle County Public Schools
430,Crystal Spring Elementary,540-853-2976,Ms. Kathleen Tate,PK-5,Roanoke Public Schools
431,Cub Run Elementary,703-633-7500,Ms. Jennifer Coakley,PK-6,Fairfax County Public Schools
432,Cub Run Elementary,540-289-5854,Mr. Kenny Boyers,PK-5,Rockingham County Public Schools
433,Culpeper County High,540-825-8310,Mr. Jeffrey J Dietz,9-12,Culpeper County Public Schools
434,Culpeper Middle,540-825-4140,Mrs. Margery Southard,6-8,Culpeper County Public Schools
435,Cumberland Elementary,804-492-4212,Mr. Mark Mabey,PK-4,Cumberland County Public Schools
436,Cumberland High,804-492-4212,Mr. Jeff Scales,9-12,Cumberland County Public Schools
437,Cumberland Middle,804-492-4212,Mr. Jeff Dingeldein,5-8,Cumberland County Public Schools
438,Cunningham Park Elementary,703-255-5600,Ms. Rebecca Baenig,PK-6,Fairfax County Public Schools
439,D.G. Cooley Elementary,540-955-6120,Mr. Hubert Carmichael,PK-5,Clarke County Public Schools
440,D.J. Montague Elementary,757-258-3022,Lynn Turner,KG-5,Williamsburg-James City County Public Schools
441,Dale City Elementary,703-670-2208,Ms. Cinthia Crowe-Miller,PK-5,Prince William County Public Schools
442,Damascus Middle,276-739-4100,Mrs. Dixie Hunter,6-8,Washington County Public Schools
443,Dan River High,434-822-7081,Mr. Steven D. Mayhew,9-12,Pittsylvania County Public Schools
444,Dan River Middle,434-822-6027,Mrs. Emily S. Reynolds,6-8,Pittsylvania County Public Schools
445,Daniel Morgan Middle,540-667-7171,Sarah Kish,5-8,Winchester Public Schools
446,Daniels Run Elementary,703-279-8400,Mr. Adam Erbrecht,PK-6,Fairfax County Public Schools
447,Dare Elementary,757-898-0324,Lindsey Caccavale,KG-5,York County Public Schools
448,David A. Dutrow Elementary,757-886-7760,Mrs. Marguerite A. Pittman,PK-5,Newport News Public Schools
449,David A. Harrison Elementary,804-991-2242,Dr. Sharon O'Neill,PK-5,Prince George County Public Schools
450,David A. Kaechele Elementary School,804-364-0055,Ms. Cynthia Patterson,PK-5,Henrico County Public Schools
451,Davis Career Center,703-714-5600,Mr. Brandon G. Wolfe,,Fairfax County Public Schools
452,Day Treatment Program,276-645-4722,Mr. Mike Nash,,Bristol Public Schools
453,Dearington Elementary/Innovation,434-522-3757,Mr. Daniel J. Rule,PK-5,Lynchburg Public Schools
454,Deep Creek Central Elementary,757-558-5356,Mrs. Barbara A. Fortner,PK-5,Chesapeake Public Schools
455,Deep Creek Elementary,757-558-5333,Dr. D. Jean Jones,PK-5,Chesapeake Public Schools
456,Deep Creek High,757-558-5302,Ms. J. Page Bagley,9-12,Chesapeake Public Schools
457,Deep Creek Middle,757-558-5321,Dr. Muriel P. Barefield,6-8,Chesapeake Public Schools
458,Deep Run High,804-364-8000,Mr. Leonard G. Pritchard,9-12,Henrico County Public Schools
459,Deer Park Elementary,703-802-5000,Ms. Carol Larsen,PK-6,Fairfax County Public Schools
460,Deer Park Elementary,757-591-7470,Ms. Mary Jo Anastasio,PK-5,Newport News Public Schools
461,Denbigh Early Childhood Center,757-886-7789,Ms. Lorie Dildy,PK,Newport News Public Schools
462,Denbigh High,757-886-7700,Mr. Anthony Vladu,9-12,Newport News Public Schools
463,Diamond Springs Elementary,757-648-4240,Ms. Gloria F. Coston,PK-1,Virginia Beach Public Schools
464,Dickenson County Career Center,276-835-8049,Mr. George Brian Baker,,Dickenson County Public Schools
465,Dinwiddie County High School,804-469-4280,Mr. Randal W. Johnson,9-12,Dinwiddie County Public Schools
466,Dinwiddie County Middle School,804-469-5430,Mr. Alfred M. Cappellanti III,6-8,Dinwiddie County Public Schools
467,Dinwiddie Elementary School,804-469-4580,Mrs. Danielle Moore-Winn,KG-5,Dinwiddie County Public Schools
468,Discovery Elementary School,571-252-2370,James Dallas,PK-5,Loudoun County Public Schools
469,Dogwood Elementary,703-262-3100,Mr. Terry J. Dade,PK-6,Fairfax County Public Schools
470,Dominion High,571-434-4400,Dr. W. John Brewer,PK-12,Loudoun County Public Schools
471,Dominion Trail Elementary,571-252-2340,Jeff Joseph,PK-5,Loudoun County Public Schools
472,Donald B. Dixon-Lyle R. Smith Middle,540-899-0860,Ms. Lisa M. Besceglia,6-8,Stafford County Public Schools
473,Douglas Macarthur Elementary,703-461-4190,Rae Covey,KG-5,Alexandria Public Schools
474,Douglas S. Freeman High,804-673-3700,Mrs. Anne L. Poates,9-12,Henrico County Public Schools
475,Douglass Park Elementary,757-393-8646,Mrs. Renee P Hailes,KG-6,Portsmouth Public Schools
476,Douglass School,571-252-2060,Dr. John H. Robinson,,Loudoun County Public Schools
477,Dranesville Elementary,703-326-5200,Ms. Kathy N Manoatl,PK-6,Fairfax County Public Schools
478,Drew Model Elementary,703-228-5825,Ms. Jackie Smith,PK-5,Arlington County Public Schools
479,Drewry Mason Elementary,276-956-3154,Dr. Sherri G. Lewis,PK-5,Henry County Public Schools
480,Driver Elementary,757-923-4106,Ms. Melodie Griffin,2-5,Suffolk Public Schools
481,Dryden Elementary,276-546-4443,Ms. Mona Marie Baker,PK-5,Lee County Public Schools
482,Dublin Elementary,540-643-0337,Dr. Michael Perry,PK-5,Pulaski County Public Schools
483,Dublin Middle,540-643-0367,Ms. Robin Keener,6-8,Pulaski County Public Schools
484,Dudley Elementary,540-721-2621,Ms. Lisa Newell,PK-5,Franklin County Public Schools
485,Dudley Primary,276-326-1507,Mrs. Susan Maupin,PK-2,Tazewell County Public Schools
486,Duffield-Pattonsville Primary,276-431-2244,Mr. Travis Nickels,KG-4,Scott County Public Schools
487,Dumbarton Elementary,804-756-3030,Mr. Scott D. Thorpe,PK-5,Henrico County Public Schools
488,Dumfries Elementary,703-221-3101,Ms. Melvina Michie,PK-5,Prince William County Public Schools
